Image,Label,SubjectID,Ciba Vision Lens Color,Gender,B_L Lens Used,PupilX,PupilY,PupilR,IrisX,IrisY,IrisR
Cogent Scanner/1/Normal/20120914163907_L,Normal,1,Blue,Female,No,281,133,49,286,151,127
Cogent Scanner/1/Normal/20120914163907_R,Normal,1,Blue,Female,No,350,192,52,351,201,123
Cogent Scanner/1/Transparent/20120914163551_L,Transparent,1,Blue,Female,No,268,181,33,272,204,111
Cogent Scanner/1/Transparent/20120914163551_R,Transparent,1,Blue,Female,No,334,213,31,329,234,108
Cogent Scanner/1/Transparent/20120914163554_L,Transparent,1,Blue,Female,No,264,199,29,270,213,113
Cogent Scanner/1/Transparent/20120914163554_R,Transparent,1,Blue,Female,No,335,201,28,332,210,112
Cogent Scanner/1/Transparent/20120914163559_L,Transparent,1,Blue,Female,No,251,174,29,258,182,108
Cogent Scanner/1/Transparent/20120914163559_R,Transparent,1,Blue,Female,No,320,193,33,319,203,109
Cogent Scanner/1/Transparent/20120914163602_L,Transparent,1,Blue,Female,No,251,168,30,254,178,114
Cogent Scanner/1/Transparent/20120914163602_R,Transparent,1,Blue,Female,No,326,175,30,323,184,109
Cogent Scanner/1/Transparent/20120914163605_L,Transparent,1,Blue,Female,No,271,142,29,272,166,116
Cogent Scanner/1/Transparent/20120914163605_R,Transparent,1,Blue,Female,No,360,148,34,358,156,111
Cogent Scanner/2/Colored/20120910165446_R,Colored,2,Hazel,Male,No,345,173,41,335,187,146
Cogent Scanner/2/Colored/20120910165451_R,Colored,2,Hazel,Male,No,342,164,43,333,190,149
Cogent Scanner/2/Colored/20120910165454_R,Colored,2,Hazel,Male,No,338,161,38,331,180,150
Cogent Scanner/2/Colored/20120910165506_R,Colored,2,Hazel,Male,No,345,150,32,339,172,149
Cogent Scanner/2/Colored/20120910165518_R,Colored,2,Hazel,Male,No,338,144,37,333,164,150
Cogent Scanner/2/Colored/20120910170912_L,Colored,2,Hazel,Male,No,267,232,42,282,241,152
Cogent Scanner/2/Colored/20120910170959_L,Colored,2,Hazel,Male,No,229,209,54,234,196,139
Cogent Scanner/2/Colored/20120910171003_L,Colored,2,Hazel,Male,No,211,186,55,218,190,144
Cogent Scanner/2/Colored/20120910171007_L,Colored,2,Hazel,Male,No,291,188,58,305,192,144
Cogent Scanner/2/Colored/20120910171011_L,Colored,2,Hazel,Male,No,291,170,45,299,171,146
Cogent Scanner/2/Normal/20120910171755_L,Normal,2,Hazel,Male,No,208,308,38,216,317,129
Cogent Scanner/2/Normal/20120910171755_R,Normal,2,Hazel,Male,No,360,193,37,359,189,124
Cogent Scanner/2/Normal/20120910171803_L,Normal,2,Hazel,Male,No,252,230,36,262,236,146
Cogent Scanner/2/Normal/20120910171803_R,Normal,2,Hazel,Male,No,343,243,35,336,250,142
Cogent Scanner/2/Normal/20120910171807_L,Normal,2,Hazel,Male,No,191,212,44,199,204,145
Cogent Scanner/2/Normal/20120910171807_R,Normal,2,Hazel,Male,No,320,240,38,315,224,147
Cogent Scanner/2/Normal/20120910171811_L,Normal,2,Hazel,Male,No,271,198,38,280,200,148
Cogent Scanner/2/Normal/20120910171811_R,Normal,2,Hazel,Male,No,386,221,43,371,230,149
Cogent Scanner/2/Normal/20120910171814_L,Normal,2,Hazel,Male,No,198,194,49,204,196,143
Cogent Scanner/2/Normal/20120910171814_R,Normal,2,Hazel,Male,No,319,220,50,318,216,149
Cogent Scanner/2/Transparent/20120913132313_L,Transparent,2,Hazel,Male,No,218,160,63,224,159,142
Cogent Scanner/2/Transparent/20120913132313_R,Transparent,2,Hazel,Male,No,380,202,63,382,191,146
Cogent Scanner/2/Transparent/20120913132320_L,Transparent,2,Hazel,Male,No,249,95,45,256,131,130
Cogent Scanner/2/Transparent/20120913132320_R,Transparent,2,Hazel,Male,No,397,156,47,393,168,128
Cogent Scanner/2/Transparent/20120913132330_L,Transparent,2,Hazel,Male,No,316,130,52,322,152,141
Cogent Scanner/2/Transparent/20120913132330_R,Transparent,2,Hazel,Male,No,335,179,47,330,189,142
Cogent Scanner/2/Transparent/20120913133857_L,Transparent,2,Hazel,Male,No,211,181,35,220,198,148
Cogent Scanner/2/Transparent/20120913133857_R,Transparent,2,Hazel,Male,No,390,217,38,387,226,148
Cogent Scanner/2/Transparent/20120913133909_L,Transparent,2,Hazel,Male,No,183,122,41,194,144,143
Cogent Scanner/2/Transparent/20120913133909_R,Transparent,2,Hazel,Male,No,372,187,32,366,192,137
Cogent Scanner/2/Transparent/20120913133912_L,Transparent,2,Hazel,Male,No,257,117,44,265,141,141
Cogent Scanner/2/Transparent/20120913133912_R,Transparent,2,Hazel,Male,No,362,167,39,357,164,140
Cogent Scanner/2/Transparent/20120913133915_L,Transparent,2,Hazel,Male,No,271,117,50,277,145,144
Cogent Scanner/2/Transparent/20120913133915_R,Transparent,2,Hazel,Male,No,362,157,37,352,173,140
Cogent Scanner/2/Transparent/20120913133919_L,Transparent,2,Hazel,Male,No,192,96,54,198,140,139
Cogent Scanner/2/Transparent/20120913133919_R,Transparent,2,Hazel,Male,No,353,140,33,349,160,143
Cogent Scanner/3/Colored/20120913162039_L,Colored,3,Hazel,Male,No,322,259,26,325,262,92
Cogent Scanner/3/Colored/20120913162039_R,Colored,3,Hazel,Male,No,467,214,29,467,219,91
Cogent Scanner/3/Colored/20120913162044_L,Colored,3,Hazel,Male,No,273,191,53,278,191,126
Cogent Scanner/3/Colored/20120913162044_R,Colored,3,Hazel,Male,No,456,185,55,457,190,130
Cogent Scanner/3/Colored/20120913162049_L,Colored,3,Hazel,Male,No,283,176,52,294,175,126
Cogent Scanner/3/Colored/20120913162049_R,Colored,3,Hazel,Male,No,463,170,52,470,178,129
Cogent Scanner/3/Colored/20120913162057_L,Colored,3,Hazel,Male,No,314,164,36,320,172,125
Cogent Scanner/3/Colored/20120913162057_R,Colored,3,Hazel,Male,No,484,172,46,486,176,130
Cogent Scanner/3/Colored/20120913162104_L,Colored,3,Hazel,Male,No,278,182,34,287,193,123
Cogent Scanner/3/Colored/20120913162104_R,Colored,3,Hazel,Male,No,452,190,33,453,206,129
Cogent Scanner/3/Colored/20120913162109_L,Colored,3,Hazel,Male,No,287,210,34,296,218,125
Cogent Scanner/3/Colored/20120913162109_R,Colored,3,Hazel,Male,No,447,217,36,446,225,128
Cogent Scanner/3/Normal/20120914144720_L,Normal,3,Hazel,Male,No,196,180,51,200,180,123
Cogent Scanner/3/Normal/20120914144720_R,Normal,3,Hazel,Male,No,440,190,37,437,202,124
Cogent Scanner/3/Normal/20120914144725_L,Normal,3,Hazel,Male,No,248,169,47,254,178,123
Cogent Scanner/3/Normal/20120914144725_R,Normal,3,Hazel,Male,No,488,188,44,489,199,123
Cogent Scanner/3/Normal/20120914144728_L,Normal,3,Hazel,Male,No,242,155,45,249,160,128
Cogent Scanner/3/Normal/20120914144728_R,Normal,3,Hazel,Male,No,480,169,32,479,172,127
Cogent Scanner/3/Normal/20120914144731_L,Normal,3,Hazel,Male,No,220,148,45,228,152,123
Cogent Scanner/3/Normal/20120914144731_R,Normal,3,Hazel,Male,No,472,159,43,471,170,125
Cogent Scanner/3/Normal/20120914144740_L,Normal,3,Hazel,Male,No,241,133,36,252,145,131
Cogent Scanner/3/Normal/20120914144740_R,Normal,3,Hazel,Male,No,487,127,49,488,141,134
Cogent Scanner/3/Normal/20120914144749_L,Normal,3,Hazel,Male,No,159,179,31,171,182,133
Cogent Scanner/3/Normal/20120914144749_R,Normal,3,Hazel,Male,No,417,170,33,410,179,139
Cogent Scanner/3/Transparent/20120913125605_L,Transparent,3,Hazel,Male,No,168,181,27,173,186,104
Cogent Scanner/3/Transparent/20120913125605_R,Transparent,3,Hazel,Male,No,375,192,29,369,201,108
Cogent Scanner/3/Transparent/20120913125608_L,Transparent,3,Hazel,Male,No,229,174,25,235,179,108
Cogent Scanner/3/Transparent/20120913125608_R,Transparent,3,Hazel,Male,No,441,178,28,436,181,110
Cogent Scanner/3/Transparent/20120913125611_L,Transparent,3,Hazel,Male,No,230,172,27,235,186,107
Cogent Scanner/3/Transparent/20120913125611_R,Transparent,3,Hazel,Male,No,423,174,37,422,187,110
Cogent Scanner/3/Transparent/20120913125613_L,Transparent,3,Hazel,Male,No,238,151,25,245,164,109
Cogent Scanner/3/Transparent/20120913125613_R,Transparent,3,Hazel,Male,No,449,155,28,444,162,111
Cogent Scanner/3/Transparent/20120913125616_L,Transparent,3,Hazel,Male,No,238,144,24,244,156,107
Cogent Scanner/3/Transparent/20120913125616_R,Transparent,3,Hazel,Male,No,452,142,28,449,162,110
Cogent Scanner/3/Transparent/20120913125621_L,Transparent,3,Hazel,Male,No,221,145,37,226,159,108
Cogent Scanner/3/Transparent/20120913125621_R,Transparent,3,Hazel,Male,No,438,141,28,434,154,113
Cogent Scanner/4/Colored/20120919141748_L,Colored,4,Gray,Male,No,345,210,27,349,244,123
Cogent Scanner/4/Colored/20120919141748_R,Colored,4,Gray,Male,No,343,199,30,340,218,122
Cogent Scanner/4/Colored/20120919141755_L,Colored,4,Gray,Male,No,357,211,28,358,200,121
Cogent Scanner/4/Colored/20120919141755_R,Colored,4,Gray,Male,No,312,211,37,309,213,118
Cogent Scanner/4/Colored/20120919141758_L,Colored,4,Gray,Male,No,351,204,31,357,213,117
Cogent Scanner/4/Colored/20120919141758_R,Colored,4,Gray,Male,No,308,201,42,306,207,122
Cogent Scanner/4/Colored/20120919141804_R,Colored,4,Gray,Male,No,296,156,26,294,160,118
Cogent Scanner/4/Colored/20120919141815_L,Colored,4,Gray,Male,No,300,104,41,303,120,111
Cogent Scanner/4/Colored/20120919141815_R,Colored,4,Gray,Male,No,255,144,39,251,167,107
Cogent Scanner/4/Colored/20120919141819_L,Colored,4,Gray,Male,No,343,158,38,343,171,125
Cogent Scanner/4/Colored/20120919141819_R,Colored,4,Gray,Male,No,296,173,38,294,184,125
Cogent Scanner/4/Colored/20120919141821_L,Colored,4,Gray,Male,No,340,144,34,343,160,123
Cogent Scanner/4/Colored/20120919141821_R,Colored,4,Gray,Male,No,289,155,44,287,179,124
Cogent Scanner/4/Normal/20120919131157_L,Normal,4,Gray,Male,No,373,176,41,376,200,134
Cogent Scanner/4/Normal/20120919131157_R,Normal,4,Gray,Male,No,327,207,37,327,221,132
Cogent Scanner/4/Normal/20120919131200_L,Normal,4,Gray,Male,No,353,199,37,360,223,120
Cogent Scanner/4/Normal/20120919131200_R,Normal,4,Gray,Male,No,310,242,50,309,252,124
Cogent Scanner/4/Normal/20120919131204_L,Normal,4,Gray,Male,No,383,160,39,384,182,123
Cogent Scanner/4/Normal/20120919131204_R,Normal,4,Gray,Male,No,336,195,32,334,203,123
Cogent Scanner/4/Normal/20120919131207_L,Normal,4,Gray,Male,No,386,160,42,389,181,120
Cogent Scanner/4/Normal/20120919131207_R,Normal,4,Gray,Male,No,340,196,47,334,209,121
Cogent Scanner/4/Normal/20120919131211_L,Normal,4,Gray,Male,No,391,144,32,395,167,118
Cogent Scanner/4/Normal/20120919131211_R,Normal,4,Gray,Male,No,346,180,30,343,190,122
Cogent Scanner/4/Transparent/20120919133750_L,Transparent,4,Gray,Male,No,330,207,39,335,233,116
Cogent Scanner/4/Transparent/20120919133750_R,Transparent,4,Gray,Male,No,289,228,39,286,251,117
Cogent Scanner/4/Transparent/20120919133754_L,Transparent,4,Gray,Male,No,338,171,36,344,205,121
Cogent Scanner/4/Transparent/20120919133754_R,Transparent,4,Gray,Male,No,296,203,39,290,232,123
Cogent Scanner/4/Transparent/20120919133758_L,Transparent,4,Gray,Male,No,343,163,36,346,196,125
Cogent Scanner/4/Transparent/20120919133758_R,Transparent,4,Gray,Male,No,295,194,33,292,229,123
Cogent Scanner/4/Transparent/20120919133801_L,Transparent,4,Gray,Male,No,334,125,35,337,160,126
Cogent Scanner/4/Transparent/20120919133801_R,Transparent,4,Gray,Male,No,289,168,36,280,201,126
Cogent Scanner/4/Transparent/20120919133805_L,Transparent,4,Gray,Male,No,320,127,30,327,155,123
Cogent Scanner/4/Transparent/20120919133805_R,Transparent,4,Gray,Male,No,276,167,48,275,187,125
Cogent Scanner/4/Transparent/20120919133808_L,Transparent,4,Gray,Male,No,323,130,30,328,141,127
Cogent Scanner/4/Transparent/20120919133808_R,Transparent,4,Gray,Male,No,284,174,36,284,190,122
Cogent Scanner/5/Colored/20120913154721_L,Colored,5,Blue,Female,No,326,162,37,335,183,110
Cogent Scanner/5/Colored/20120913154721_R,Colored,5,Blue,Female,No,398,183,35,392,208,112
Cogent Scanner/5/Colored/20120913154736_L,Colored,5,Blue,Female,No,243,137,30,249,155,101
Cogent Scanner/5/Colored/20120913154736_R,Colored,5,Blue,Female,No,315,244,28,311,254,104
Cogent Scanner/5/Colored/20120913154739_L,Colored,5,Blue,Female,No,237,168,35,241,186,100
Cogent Scanner/5/Colored/20120913154739_R,Colored,5,Blue,Female,No,316,202,36,310,215,102
Cogent Scanner/5/Colored/20120913154746_L,Colored,5,Blue,Female,No,320,141,41,325,165,118
Cogent Scanner/5/Colored/20120913154746_R,Colored,5,Blue,Female,No,426,144,41,422,157,119
Cogent Scanner/5/Colored/20120913154751_L,Colored,5,Blue,Female,No,320,199,38,325,213,110
Cogent Scanner/5/Colored/20120913154751_R,Colored,5,Blue,Female,No,428,161,30,425,171,113
Cogent Scanner/5/Normal/20120913141925_L,Normal,5,Blue,Female,No,336,138,36,344,160,121
Cogent Scanner/5/Normal/20120913141925_R,Normal,5,Blue,Female,No,400,172,33,392,191,127
Cogent Scanner/5/Normal/20120913141928_L,Normal,5,Blue,Female,No,212,161,44,220,187,132
Cogent Scanner/5/Normal/20120913141928_R,Normal,5,Blue,Female,No,335,181,37,330,205,128
Cogent Scanner/5/Normal/20120913141932_L,Normal,5,Blue,Female,No,256,94,40,262,126,125
Cogent Scanner/5/Normal/20120913141932_R,Normal,5,Blue,Female,No,357,115,46,348,142,127
Cogent Scanner/5/Normal/20120913141937_L,Normal,5,Blue,Female,No,268,188,45,277,204,124
Cogent Scanner/5/Normal/20120913141937_R,Normal,5,Blue,Female,No,378,193,38,371,200,125
Cogent Scanner/5/Normal/20120913141940_L,Normal,5,Blue,Female,No,324,166,34,331,178,125
Cogent Scanner/5/Normal/20120913141940_R,Normal,5,Blue,Female,No,399,175,37,392,188,126
Cogent Scanner/5/Transparent/20120913152038_L,Transparent,5,Blue,Female,No,341,165,31,348,176,98
Cogent Scanner/5/Transparent/20120913152038_R,Transparent,5,Blue,Female,No,313,154,36,307,172,103
Cogent Scanner/5/Transparent/20120913152042_L,Transparent,5,Blue,Female,No,366,124,27,374,145,109
Cogent Scanner/5/Transparent/20120913152042_R,Transparent,5,Blue,Female,No,347,106,31,340,116,107
Cogent Scanner/5/Transparent/20120913152048_L,Transparent,5,Blue,Female,No,354,134,35,360,149,113
Cogent Scanner/5/Transparent/20120913152048_R,Transparent,5,Blue,Female,No,321,130,33,313,148,113
Cogent Scanner/5/Transparent/20120913152052_L,Transparent,5,Blue,Female,No,367,195,29,374,209,104
Cogent Scanner/5/Transparent/20120913152052_R,Transparent,5,Blue,Female,No,307,197,32,300,209,106
Cogent Scanner/5/Transparent/20120913152058_L,Transparent,5,Blue,Female,No,332,157,28,340,176,109
Cogent Scanner/5/Transparent/20120913152058_R,Transparent,5,Blue,Female,No,299,162,32,294,173,111
Cogent Scanner/6/Colored/20120914154356_L,Colored,6,Green,Female,No,284,214,31,295,224,114
Cogent Scanner/6/Colored/20120914154356_R,Colored,6,Green,Female,No,350,180,37,342,180,117
Cogent Scanner/6/Colored/20120914154359_L,Colored,6,Green,Female,No,302,210,32,306,222,116
Cogent Scanner/6/Colored/20120914154359_R,Colored,6,Green,Female,No,371,198,39,367,201,117
Cogent Scanner/6/Colored/20120914154403_L,Colored,6,Green,Female,No,335,220,35,343,232,114
Cogent Scanner/6/Colored/20120914154403_R,Colored,6,Green,Female,No,381,200,41,375,205,116
Cogent Scanner/6/Colored/20120914154406_L,Colored,6,Green,Female,No,270,206,37,279,221,115
Cogent Scanner/6/Colored/20120914154406_R,Colored,6,Green,Female,No,375,191,39,367,206,115
Cogent Scanner/6/Colored/20120914154410_L,Colored,6,Green,Female,No,309,205,50,310,216,115
Cogent Scanner/6/Colored/20120914154410_R,Colored,6,Green,Female,No,401,191,37,391,203,115
Cogent Scanner/6/Normal/20120914145932_L,Normal,6,Green,Female,No,228,291,51,223,304,143
Cogent Scanner/6/Normal/20120914145932_R,Normal,6,Green,Female,No,324,237,53,324,267,151
Cogent Scanner/6/Normal/20120914145935_L,Normal,6,Green,Female,No,216,207,55,225,218,146
Cogent Scanner/6/Normal/20120914145935_R,Normal,6,Green,Female,No,383,174,41,376,198,147
Cogent Scanner/6/Normal/20120914145938_L,Normal,6,Green,Female,No,210,255,45,216,263,128
Cogent Scanner/6/Normal/20120914145938_R,Normal,6,Green,Female,No,341,218,37,334,230,132
Cogent Scanner/6/Normal/20120914145941_L,Normal,6,Green,Female,No,203,238,37,211,261,128
Cogent Scanner/6/Normal/20120914145941_R,Normal,6,Green,Female,No,330,221,38,326,234,131
Cogent Scanner/6/Normal/20120914145944_L,Normal,6,Green,Female,No,207,237,41,216,244,128
Cogent Scanner/6/Normal/20120914145944_R,Normal,6,Green,Female,No,328,216,40,322,219,130
Cogent Scanner/6/Normal/20120914145948_L,Normal,6,Green,Female,No,224,234,54,230,249,128
Cogent Scanner/6/Normal/20120914145948_R,Normal,6,Green,Female,No,349,202,41,349,217,128
Cogent Scanner/6/Transparent/20120914152001_L,Transparent,6,Green,Female,No,271,236,43,278,238,121
Cogent Scanner/6/Transparent/20120914152001_R,Transparent,6,Green,Female,No,370,206,42,365,215,117
Cogent Scanner/6/Transparent/20120914152005_L,Transparent,6,Green,Female,No,250,167,47,254,188,117
Cogent Scanner/6/Transparent/20120914152005_R,Transparent,6,Green,Female,No,345,164,45,342,164,110
Cogent Scanner/6/Transparent/20120914152009_L,Transparent,6,Green,Female,No,350,186,50,350,194,117
Cogent Scanner/6/Transparent/20120914152009_R,Transparent,6,Green,Female,No,435,176,31,427,183,110
Cogent Scanner/6/Transparent/20120914152014_L,Transparent,6,Green,Female,No,360,179,51,361,194,121
Cogent Scanner/6/Transparent/20120914152014_R,Transparent,6,Green,Female,No,447,164,33,443,165,112
Cogent Scanner/6/Transparent/20120914152023_L,Transparent,6,Green,Female,No,325,191,36,330,207,124
Cogent Scanner/6/Transparent/20120914152023_R,Transparent,6,Green,Female,No,429,185,33,422,193,116
Cogent Scanner/6/Transparent/20120914152027_L,Transparent,6,Green,Female,No,241,160,35,245,177,120
Cogent Scanner/6/Transparent/20120914152027_R,Transparent,6,Green,Female,No,352,164,35,342,164,115
Cogent Scanner/7/Colored/20120914160057_L,Colored,7,Gray,Male,No,252,143,34,263,168,113
Cogent Scanner/7/Colored/20120914160057_R,Colored,7,Gray,Male,No,278,164,29,272,175,110
Cogent Scanner/7/Colored/20120914160103_L,Colored,7,Gray,Male,No,365,187,34,375,213,113
Cogent Scanner/7/Colored/20120914160103_R,Colored,7,Gray,Male,No,361,200,31,355,213,119
Cogent Scanner/7/Colored/20120914160107_L,Colored,7,Gray,Male,No,333,193,48,342,216,121
Cogent Scanner/7/Colored/20120914160107_R,Colored,7,Gray,Male,No,338,191,37,333,209,120
Cogent Scanner/7/Colored/20120914160112_L,Colored,7,Gray,Male,No,335,167,41,342,184,119
Cogent Scanner/7/Colored/20120914160112_R,Colored,7,Gray,Male,No,365,184,50,361,210,119
Cogent Scanner/7/Colored/20120914160116_L,Colored,7,Gray,Male,No,376,185,51,385,195,118
Cogent Scanner/7/Colored/20120914160116_R,Colored,7,Gray,Male,No,368,187,34,363,204,119
Cogent Scanner/7/Normal/20120912170155_L,Normal,7,Gray,Male,No,354,211,25,357,227,92
Cogent Scanner/7/Normal/20120912170155_R,Normal,7,Gray,Male,No,296,213,33,292,217,91
Cogent Scanner/7/Normal/20120912170159_L,Normal,7,Gray,Male,No,362,194,32,365,205,101
Cogent Scanner/7/Normal/20120912170159_R,Normal,7,Gray,Male,No,311,191,32,307,201,104
Cogent Scanner/7/Normal/20120912170206_L,Normal,7,Gray,Male,No,359,173,31,364,180,107
Cogent Scanner/7/Normal/20120912170206_R,Normal,7,Gray,Male,No,307,176,30,306,172,105
Cogent Scanner/7/Normal/20120912170210_L,Normal,7,Gray,Male,No,355,205,32,361,219,107
Cogent Scanner/7/Normal/20120912170210_R,Normal,7,Gray,Male,No,296,206,31,291,204,108
Cogent Scanner/7/Normal/20120912170214_L,Normal,7,Gray,Male,No,359,194,33,363,205,109
Cogent Scanner/7/Normal/20120912170214_R,Normal,7,Gray,Male,No,305,196,30,301,208,108
Cogent Scanner/7/Transparent/20120912162509_L,Transparent,7,Gray,Male,No,316,275,61,320,302,143
Cogent Scanner/7/Transparent/20120912162509_R,Transparent,7,Gray,Male,No,257,270,58,252,274,144
Cogent Scanner/7/Transparent/20120912162514_L,Transparent,7,Gray,Male,No,358,204,35,365,218,111
Cogent Scanner/7/Transparent/20120912162514_R,Transparent,7,Gray,Male,No,307,203,34,299,207,114
Cogent Scanner/7/Transparent/20120912162520_L,Transparent,7,Gray,Male,No,352,268,36,360,268,112
Cogent Scanner/7/Transparent/20120912162520_R,Transparent,7,Gray,Male,No,297,254,37,291,263,116
Cogent Scanner/7/Transparent/20120912162523_L,Transparent,7,Gray,Male,No,364,217,35,372,225,122
Cogent Scanner/7/Transparent/20120912162523_R,Transparent,7,Gray,Male,No,299,215,33,295,232,125
Cogent Scanner/7/Transparent/20120912162526_L,Transparent,7,Gray,Male,No,350,228,36,352,243,122
Cogent Scanner/7/Transparent/20120912162526_R,Transparent,7,Gray,Male,No,294,222,50,291,238,125
Cogent Scanner/8/Colored/20120913171415_L,Colored,8,Green,Male,No,263,161,45,267,180,120
Cogent Scanner/8/Colored/20120913171415_R,Colored,8,Green,Male,No,304,172,45,309,182,129
Cogent Scanner/8/Colored/20120913171419_L,Colored,8,Green,Male,No,312,175,35,316,187,138
Cogent Scanner/8/Colored/20120913171419_R,Colored,8,Green,Male,No,380,189,35,376,208,141
Cogent Scanner/8/Colored/20120913171423_L,Colored,8,Green,Male,No,322,141,35,322,154,137
Cogent Scanner/8/Colored/20120913171423_R,Colored,8,Green,Male,No,368,161,34,366,172,141
Cogent Scanner/8/Colored/20120913171427_L,Colored,8,Green,Male,No,276,126,36,278,141,139
Cogent Scanner/8/Colored/20120913171427_R,Colored,8,Green,Male,No,322,149,44,317,165,146
Cogent Scanner/8/Colored/20120913171431_L,Colored,8,Green,Male,No,229,114,37,230,140,139
Cogent Scanner/8/Colored/20120913171431_R,Colored,8,Green,Male,No,276,145,37,270,157,147
Cogent Scanner/8/Colored/20120913171434_L,Colored,8,Green,Male,No,236,100,49,240,137,137
Cogent Scanner/8/Colored/20120913171434_R,Colored,8,Green,Male,No,295,126,51,292,145,142
Cogent Scanner/8/Normal/20120913165043_L,Normal,8,Green,Male,No,303,186,45,305,195,131
Cogent Scanner/8/Normal/20120913165043_R,Normal,8,Green,Male,No,377,230,35,377,241,130
Cogent Scanner/8/Normal/20120913165056_L,Normal,8,Green,Male,No,316,221,42,318,229,131
Cogent Scanner/8/Normal/20120913165056_R,Normal,8,Green,Male,No,380,261,44,378,272,131
Cogent Scanner/8/Normal/20120913165103_L,Normal,8,Green,Male,No,277,199,43,280,212,133
Cogent Scanner/8/Normal/20120913165103_R,Normal,8,Green,Male,No,337,252,36,338,266,135
Cogent Scanner/8/Normal/20120913165107_L,Normal,8,Green,Male,No,267,187,33,270,200,132
Cogent Scanner/8/Normal/20120913165107_R,Normal,8,Green,Male,No,339,241,32,337,249,134
Cogent Scanner/8/Normal/20120913165111_L,Normal,8,Green,Male,No,253,182,33,255,198,134
Cogent Scanner/8/Normal/20120913165111_R,Normal,8,Green,Male,No,321,236,36,324,250,132
Cogent Scanner/8/Normal/20120913165115_L,Normal,8,Green,Male,No,252,173,34,258,183,132
Cogent Scanner/8/Transparent/20120913162241_L,Transparent,8,Green,Male,No,313,155,37,315,179,126
Cogent Scanner/8/Transparent/20120913162241_R,Transparent,8,Green,Male,No,354,206,39,354,212,132
Cogent Scanner/8/Transparent/20120913162247_L,Transparent,8,Green,Male,No,278,139,55,277,147,131
Cogent Scanner/8/Transparent/20120913162247_R,Transparent,8,Green,Male,No,354,202,57,357,208,132
Cogent Scanner/8/Transparent/20120913162252_L,Transparent,8,Green,Male,No,280,140,55,283,151,131
Cogent Scanner/8/Transparent/20120913162252_R,Transparent,8,Green,Male,No,325,197,53,326,209,127
Cogent Scanner/8/Transparent/20120913162255_L,Transparent,8,Green,Male,No,289,120,44,290,139,127
Cogent Scanner/8/Transparent/20120913162255_R,Transparent,8,Green,Male,No,335,173,48,333,190,128
Cogent Scanner/8/Transparent/20120913162258_L,Transparent,8,Green,Male,No,285,104,33,293,125,124
Cogent Scanner/8/Transparent/20120913162258_R,Transparent,8,Green,Male,No,341,159,35,342,178,132
Cogent Scanner/8/Transparent/20120913162301_L,Transparent,8,Green,Male,No,287,93,33,295,126,125
Cogent Scanner/8/Transparent/20120913162301_R,Transparent,8,Green,Male,No,331,143,44,334,163,129
Cogent Scanner/8/Transparent/20120913162303_L,Transparent,8,Green,Male,No,271,93,37,274,130,127
Cogent Scanner/8/Transparent/20120913162303_R,Transparent,8,Green,Male,No,312,142,47,316,162,126
Cogent Scanner/9/Colored/20120912144729_L,Colored,9,Gray,Male,No,169,158,35,182,184,143
